ID,Category,Summary Title,Full Victory Condition Statement
1,Military & Conquest,Control All Capitals,All enemy capital cities are controlled by the player's forces.
2,Military & Conquest,Total Army Elimination,The last opposing army unit has been eliminated from the map.
3,Military & Conquest,Leader Capture & Execution,The designated enemy leader has been captured and executed.
4,Military & Conquest,Annihilation of Elite Guard,A decisive battle resulted in the complete annihilation of the rival faction's elite guard.
5,Military & Conquest,Fulfill War Declaration,The player's military has occupied all territories specified in the initial war declaration.
6,Military & Conquest,Unconditional Surrender,The opposing faction has formally signed an unconditional surrender document.
7,Military & Conquest,Iron Keep Destruction,"The final defensive fortress, known as the Iron Keep, has been breached and destroyed."
8,Military & Conquest,Superweapon Detonation,The player has successfully launched and detonated the world-ending superweapon.
9,Military & Conquest,Naval Supremacy Achieved,All enemy naval fleets have been sunk or forced into friendly harbors.
10,Military & Conquest,Grand General Assassinated,The player's espionage network has successfully assassinated the enemy's Grand General.
11,Military & Conquest,Monument Control,The player's banner flies over the central monument of every rival civilization.
12,Military & Conquest,Artifacts Secured First,The player's forces secured the three ancient artifacts of power before the enemy could.
13,Military & Conquest,Objective Zone Held,"The designated objective zone, Area 5, has been held uncontested for three consecutive turns."
14,Military & Conquest,Titan Deployment,"The game world's most powerful tactical unit, the Titan, has been successfully deployed."
15,Military & Conquest,90% Power Rating,A cease-fire treaty was enacted after the player achieved a 90% power rating over all rivals.
16,Military & Conquest,Core Objective Defended,The player has successfully defended the core objective for the designated time limit.
17,Military & Conquest,Enemy Production Zero,The enemy's ability to produce new military units has been reduced to zero.
18,Military & Conquest,Global Sea Lane Control,The player's empire controls all land bridges and major sea lanes in the world.
19,Military & Conquest,Perpetual Army Funding,The player has accumulated enough resources to perpetually fund their armed forces.
20,Military & Conquest,Commander Duel Win,The final duel between the two supreme commanders resulted in the player's victory.
21,Technological & Scientific,Ultimate Tech Achieved,The player's civilization has completed the ultimate technological advancement.
22,Technological & Scientific,Warp Point Reached,The first crewed starship has reached the designated warp-point beyond the galaxy.
23,Technological & Scientific,All Diseases Cured,All four known diseases have been cured and the global health index is at its maximum.
24,Technological & Scientific,Immortality Wonder Built,The World Wonder that unlocks the secrets of immortality has been fully constructed.
25,Technological & Scientific,AI Singularity Achieved,The player's AI has achieved singularity and uploaded the collective consciousness.
26,Technological & Scientific,Permanent Mars Colony,"The player is the first to establish a permanent, self-sufficient colony on Mars."
27,Technological & Scientific,Past Event Altered,A working Time Machine has been invented and used to alter a single past event.
28,Technological & Scientific,Fusion Reactor Power,The global energy matrix is powered entirely by the player's proprietary fusion reactors.
29,Technological & Scientific,Alien Language Translated,The player has successfully translated the complete language of the alien monolith.
30,Technological & Scientific,VR Simulation Deactivated,The final layer of the global virtual reality simulation has been deactivated.
31,Technological & Scientific,Universal Map Charted,The universal map has been completely charted and all stellar anomalies explained.
32,Technological & Scientific,Scientific Output Supremacy,The player's scientific output score exceeded the combined score of all other factions.
33,Technological & Scientific,Flawless Successor Species,Genetic engineering has resulted in a human successor species with no flaws.
34,Technological & Scientific,FTL Secret Deleted,The secret of faster-than-light travel has been irretrievably deleted from all enemy databases.
35,Political & Governance,Supreme Ruler Declared,A unanimous vote in the Galactic Senate declared the player as the Supreme Ruler.
36,Political & Governance,Supermajority Election,The player's political party won a supermajority in every national election.
37,Political & Governance,Royal Marriage Unification,"The rival kingdom's prince married the player's heir, uniting the two nations peacefully."
38,Political & Governance,Ideology Adopted Globally,The player's ideology is adopted as the foundational belief system for every culture.
39,Political & Governance,Absolute Liberty Achieved,All citizens within the player's territory enjoy absolute liberty and economic prosperity.
40,Political & Governance,Poverty and Crime Abolished,The player has successfully abolished all forms of poverty and crime within the nation.
